filename id formula
177-Ir8O16 177 Ir8O16
178-Ir24O48 178 Ir24O48
179-Ir4O8 179 Ir4O8
180-Ir2O4 180 Ir2O4
181-Ir2O4 181 Ir2O4
182-Ir4O8 182 Ir4O8
183-Ir2O4 183 Ir2O4
184-Ir4O8 184 Ir4O8
185-Ir16O32 185 Ir16O32
186-Ir8O16 186 Ir8O16
187-Ir3O6 187 Ir3O6
188-Ir2O4 188 Ir2O4
189-Ir4O8 189 Ir4O8
190-Ir8O16 190 Ir8O16
191-Ir4O8 191 Ir4O8
192-Ir9O18 192 Ir9O18
193-Ir8O16 193 Ir8O16
194-Ir8O16 194 Ir8O16
195-Ir4O8 195 Ir4O8
196-Ir4O8 196 Ir4O8
197-Ir2O4 197 Ir2O4
198-Ir4O8 198 Ir4O8
199-Ir8O16 199 Ir8O16
200-Ir32O64 200 Ir32O64
201-Ir18O36 201 Ir18O36
202-Ir8O16 202 Ir8O16
203-Ir3O6 203 Ir3O6
204-Ir4O8 204 Ir4O8
205-IrO2 205 IrO2
206-Ir8O16 206 Ir8O16
207-Ir4O8 207 Ir4O8
208-Ir32O64 208 Ir32O64
209-Ir16O32 209 Ir16O32
210-Ir6O12 210 Ir6O12
211-Ir2O4 211 Ir2O4
212-Ir4O8 212 Ir4O8
213-Ir36O72 213 Ir36O72
214-Ir9O18 214 Ir9O18
215-Ir6O12 215 Ir6O12
216-Ir16O32 216 Ir16O32
217-Ir32O64 217 Ir32O64
218-Ir16O32 218 Ir16O32
219-Ir10O20 219 Ir10O20
220-Ir16O32 220 Ir16O32
221-Ir12O24 221 Ir12O24
222-Ir24O48 222 Ir24O48
223-Ir4O8 223 Ir4O8
224-Ir48O96 224 Ir48O96
225-Ir17O34 225 Ir17O34
226-Ir4O8 226 Ir4O8
227-Ir9O18 227 Ir9O18
228-Ir12O24 228 Ir12O24
229-Ir8O16 229 Ir8O16
230-Ir24O48 230 Ir24O48
231-Ir4O8 231 Ir4O8
232-Ir4O8 232 Ir4O8
233-Ir2O4 233 Ir2O4
234-Ir9O18 234 Ir9O18
235-Ir28O56 235 Ir28O56
236-Ir12O24 236 Ir12O24
237-Ir5O10 237 Ir5O10
238-Ir9O18 238 Ir9O18
239-Ir16O32 239 Ir16O32
240-Ir4O8 240 Ir4O8
241-Ir16O32 241 Ir16O32
242-Ir18O36 242 Ir18O36
243-Ir2O4 243 Ir2O4
244-Ir4O8 244 Ir4O8
245-Ir12O24 245 Ir12O24
246-Ir4O8 246 Ir4O8
247-Ir24O48 247 Ir24O48
248-Ir6O12 248 Ir6O12
249-Ir26O52 249 Ir26O52
250-Ir48O96 250 Ir48O96
251-Ir4O8 251 Ir4O8
252-Ir64O128 252 Ir64O128
253-Ir2O4 253 Ir2O4
254-Ir8O16 254 Ir8O16
255-Ir3O6 255 Ir3O6
256-Ir7O14 256 Ir7O14
257-Ir12O24 257 Ir12O24
258-Ir9O18 258 Ir9O18
259-Ir12O24 259 Ir12O24
260-IrO2 260 IrO2
261-Ir6O12 261 Ir6O12
262-Ir40O80 262 Ir40O80
263-Ir8O16 263 Ir8O16
264-Ir6O12 264 Ir6O12
265-Ir4O8 265 Ir4O8
266-Ir12O24 266 Ir12O24
267-Ir32O64 267 Ir32O64
268-Ir4O8 268 Ir4O8
269-Ir46O92 269 Ir46O92
270-Ir8O16 270 Ir8O16
271-Ir8O16 271 Ir8O16
272-Ir2O4 272 Ir2O4
273-Ir4O8 273 Ir4O8
274-Ir32O64 274 Ir32O64
275-Ir2O4 275 Ir2O4
276-Ir4O8 276 Ir4O8
277-Ir4O8 277 Ir4O8
278-Ir22O44 278 Ir22O44
279-Ir8O16 279 Ir8O16
280-Ir27O54 280 Ir27O54
281-Ir2O4 281 Ir2O4
282-Ir16O32 282 Ir16O32
283-IrO2 283 IrO2
284-Ir48O96 284 Ir48O96
285-IrO2 285 IrO2
286-Ir8O16 286 Ir8O16
287-Ir2O4 287 Ir2O4
288-Ir2O4 288 Ir2O4
289-Ir12O24 289 Ir12O24
290-Ir64O128 290 Ir64O128
291-Ir16O32 291 Ir16O32
292-Ir96O192 292 Ir96O192
293-Ir2O4 293 Ir2O4
294-Ir16O32 294 Ir16O32
295-Ir2O4 295 Ir2O4
296-Ir2O4 296 Ir2O4
297-Ir96O192 297 Ir96O192
298-Ir16O32 298 Ir16O32
299-Ir12O24 299 Ir12O24
300-Ir32O64 300 Ir32O64
301-Ir36O72 301 Ir36O72
302-Ir8O16 302 Ir8O16
303-Ir12O24 303 Ir12O24
304-Ir6O12 304 Ir6O12
305-Ir28O56 305 Ir28O56
306-Ir4O8 306 Ir4O8
307-Ir192O384 307 Ir192O384
308-Ir4O8 308 Ir4O8
309-Ir2O4 309 Ir2O4
310-Ir8O16 310 Ir8O16
311-Ir3O6 311 Ir3O6
312-Ir12O24 312 Ir12O24
313-Ir3O6 313 Ir3O6
314-Ir6O12 314 Ir6O12
315-Ir18O36 315 Ir18O36
316-Ir4O8 316 Ir4O8
317-IrO2 317 IrO2
318-Ir32O64 318 Ir32O64
319-Ir10O20 319 Ir10O20
320-Ir12O24 320 Ir12O24
321-Ir5O10 321 Ir5O10
322-Ir60O120 322 Ir60O120
323-Ir12O24 323 Ir12O24
324-Ir96O192 324 Ir96O192
