id,id_unique,form_e_chris,source,energy_pa
3,7h62vo74x4,0.38598,chris,
9,vwbhvwmjmw,-0.286017,chris,
14,94vpmqvh9p,-0.330378,chris,
38,bpvynr7p9w,-0.392176,chris,
45,nrml6dms9l,-0.499567,chris,
58,8jvfcyvk92,0.268269,chris,
64,mp7svl6j8s,-0.262468,chris,
69,8pmqmq9r8f,-0.235805,chris,
87,6s648e8s6p,-0.530512,chris,
88,vlbdnoxlnh,-0.245249,chris,
109,7en56j64mi,-0.024289,chris,
112,9e8jmu7hmo,-0.228049,chris,
115,7f8pm5mhnu,-0.395679,chris,
116,zr9ic2zaz5,-0.392167,chris,
117,9pzh8yxixe,-0.247327,chris,
128,xjxdzi73bg,-0.248005,chris,
132,9txdvicqcf,-0.59926,chris,
146,xy6kzjninu,-0.265077,chris,
149,cgx3mkzhmd,-0.399059,chris,
156,nocg9ivex1,-0.246969,chris,
157,6d6a8a637i,-0.294417,chris,
164,b5cgvsb16w,-0.559365,chris,
174,macixavwv3,-0.586571,chris,
186,8g6g9dv47g,-0.240464,chris,
187,8gnt9rnd92,-0.482107,chris,
198,vt9ynkzyna,-0.257918,chris,
215,b4nrnqvl8h,0.043482,chris,
242,95nfmd6fce,-0.265874,chris,
244,mkvpml8q9e,-0.250202,chris,
255,bgcpc2vabf,-0.495877,chris,
694981,x5xfz16h95,-0.795,oqmd,-6.400890375
690788,826imfvjm5,-0.78,oqmd,-6.385964828
825007,65xlxp7o8i,-0.777,oqmd,-6.383127848
694982,nl9gb2csx5,-0.716,oqmd,-6.321847328
825035,z17s6dzu6r,-0.661,oqmd,-6.266739435
825034,nu64ni7a6i,-0.659,oqmd,-6.265542249
325288,6svsc4bqxh,0.173,oqmd,-5.433
298609,v1bebhmeny,0.518,oqmd,-5.088081808
309147,vjvfzpb48y,0.523,oqmd,-5.083408538
349774,x4zsxdmanr,0.952,oqmd,-4.654
