1,-0.85022,0.2973,0.2973
2,-0.80707,0.075964,0.075964
3,-0.79595,0.076424,0.076424
4,-0.78127,0.075642,0.075642
5,-0.77893,0.079315,0.079315
6,-0.77824,0.2275,0.2275
7,-0.77602,0.076573,0.076573
8,-0.76249,0.15985,0.15985
9,-0.75518,0.077616,0.077616
10,-0.75143,0.10479,0.10479
11,-0.7501,0.080734,0.080734
12,-0.7501,0.080734,0.080734
13,-0.73249,0.076157,0.076157
14,-0.72826,0.076624,0.076624
15,-0.71738,0.079182,0.079182
16,-0.71307,0.093239,0.093239
17,-0.71125,0.11208,0.11208
18,-0.69213,0.10472,0.10472
19,-0.68643,0.084471,0.084471
20,-0.68614,0.081679,0.081679
21,-0.68524,0.086897,0.086897
22,-0.67213,0.080497,0.080497
23,-0.67193,0.080439,0.080439
24,-0.67169,0.080447,0.080447
25,-0.67069,0.07789,0.07789
26,-0.66988,0.080429,0.080429
27,-0.66962,0.080259,0.080259
28,-0.66936,0.080318,0.080318
29,-0.66935,0.080304,0.080304
30,-0.66802,0.080206,0.080206
31,-0.66691,0.08019,0.08019
32,-0.66687,0.080188,0.080188
33,-0.66684,0.081635,0.081635
34,-0.66559,0.079547,0.079547
35,-0.66229,0.082566,0.082566
36,-0.65619,0.26081,0.26081
37,-0.6533,0.14466,0.14466
38,-0.65074,0.079903,0.079903
39,-0.65068,0.088626,0.088626
40,-0.64092,0.28816,0.28816
41,-0.63853,0.35437,0.35437
42,-0.62302,0.20131,0.20131
43,-0.6223,0.35345,0.35345
44,-0.61991,0.078534,0.078534
45,-0.61766,0.080239,0.080239
46,-0.6172,0.080721,0.080721
47,-0.6131,0.078088,0.078088
48,-0.61288,0.080637,0.080637
49,-0.61285,0.08064,0.08064
50,-0.61275,0.080749,0.080749
51,-0.6123,0.080847,0.080847
52,-0.61197,0.080756,0.080756
53,-0.61166,0.16359,0.16359
54,-0.61137,0.081012,0.081012
55,-0.61015,0.081334,0.081334
56,-0.60878,0.081409,0.081409
57,-0.60863,0.1605,0.1605
58,-0.60751,0.081303,0.081303
59,-0.6064,0.079088,0.079088
60,-0.60635,0.40354,0.40354
61,-0.60246,0.081398,0.081398
62,-0.60237,0.082809,0.082809
63,-0.60215,0.082842,0.082842
64,-0.60211,0.081881,0.081881
65,-0.60186,0.13582,0.13582
66,-0.60089,0.08291,0.08291
67,-0.60047,0.081875,0.081875
68,-0.60013,0.081905,0.081905
69,-0.6,0.082351,0.082351
70,-0.59978,0.083262,0.083262
71,-0.59918,0.095561,0.095561
72,-0.59828,0.083379,0.083379
73,-0.5979,0.083675,0.083675
74,-0.59731,0.11525,0.11525
75,-0.59692,0.10257,0.10257
